cpower1,cspeed1,c1 LED,c1 VED,cpower2,cspeed2,c2 LED,c2 VED,angle,eta_SID,rho_s_SID,sig_s_SID,Sa,Sq,Ssk,Sku,sigma_s_rho,Sdq,Sdr
0,"4,000",0,0,28,2000,0.014,0.35,0,0.0894,0.9007,17.581,15.0688,19.0576,0.312,3.9504,19.5192628,62.79,125.928
0,"4,000",0,0,28,2000,0.014,0.35,5,0.0732,0.8686,45.2437,37.715,46.6563,0.0921,2.8351,52.08807276,67.88,185.16
0,"4,000",0,0,28,2000,0.014,0.35,10,0.0649,0.8443,36.5617,29.4591,37.8053,1.009,4.1642,43.30415729,70.89,251.215
0,"4,000",0,0,28,2000,0.014,0.35,15,0.0638,0.8718,37.4975,30.1618,37.5715,0.2143,2.7246,43.01158523,69.9,226.34
0,"4,000",0,0,28,2000,0.014,0.35,20,0.0593,0.8346,36.4303,28.4712,37.2493,0.8065,4.4419,43.65001198,71.079,256.115
0,"4,000",0,0,28,2000,0.014,0.35,25,0.0621,0.9034,30.736,24.9412,31.1378,0.3029,2.9849,34.02258136,69.096,213.464
0,"4,000",0,0,28,2000,0.014,0.35,30,0.0557,0.7937,32.4421,26.4967,33.7178,0.6268,4.1294,40.87451178,75.339,388.839
0,"4,000",0,0,28,2000,0.014,0.35,35,0.0546,0.8118,31.6314,24.9723,31.7104,0.1247,3.1734,38.96452328,72.16,295.625
0,"4,000",0,0,28,2000,0.014,0.35,40,0.0596,0.8287,26.8025,21.8481,27.5578,-0.0655,3.1299,32.34282611,70.486,247.207
0,"4,000",0,0,28,2000,0.014,0.35,45,0.0564,0.7761,32.8955,25.6933,32.7942,0.0894,3.3965,42.38564618,73.714,357.63
0,"4,000",0,0,28,2000,0.014,0.35,50,0.0576,0.7058,31.059,24.6602,31.2576,0.2198,3.5195,44.00538396,74.415,388.262
0,"4,000",0,0,28,2000,0.014,0.35,55,0.0516,0.7771,28.8264,23.1019,29.4933,-0.0103,3.4316,37.09483979,72.804,316.31
0,"4,000",0,0,28,2000,0.014,0.35,60,0.0561,0.766,27.2482,21.9024,27.8396,-0.253,3.2467,35.57206266,73.403,346.177
0,"4,000",0,0,28,2000,0.014,0.35,65,0.0565,0.7539,27.918,21.3056,27.8108,0.099,4.024,37.03143653,73.127,334.059
0,"4,000",0,0,28,2000,0.014,0.35,70,0.0552,0.7504,29.0594,22.6868,29.0896,-0.0565,3.3648,38.72521322,73.69,363.177
0,"4,000",0,0,28,2000,0.014,0.35,75,0.0566,0.6394,28.5261,22.0069,28.3645,0.1562,3.8188,44.61385674,75.939,444.57
0,"4,000",0,0,28,2000,0.014,0.35,80,0.0635,0.5622,25.6199,20.032,26.2807,-0.1715,3.9457,45.57079331,76.667,556.568
0,"4,000",0,0,28,2000,0.014,0.35,85,0.0587,0.6077,26.437,20.6948,26.7059,-0.3327,3.5329,43.50337338,77.25,608.26
0,"4,000",0,0,28,2000,0.014,0.35,90,0.0597,0.597,27.1291,20.775,26.8756,-0.0666,3.4938,45.44237856,77.125,598.523
0,"4,000",0,0,35,2000,0.018,0.438,0,0.0951,1.1018,21.5099,17.0611,21.6119,0.1138,2.9677,19.52250862,53.43,64.301
